[GIN] 2019/08/15 - 17:52:37 | 200 |   10.007322ms |       127.0.0.1 | GET      /
[GIN] 2019/08/15 - 17:52:37 | 200 |   13.536766ms |       127.0.0.1 | GET      /static/css/style.css
[GIN] 2019/08/15 - 17:52:37 | 200 |    2.111265ms |       127.0.0.1 | GET      /static/js/jquery.min.js
[GIN] 2019/08/15 - 17:52:37 | 304 |     156.804µs |       127.0.0.1 | GET      /static/images/avatar.jpg
[GIN] 2019/08/15 - 17:52:37 | 200 |     907.212µs |       127.0.0.1 | GET      /static/js/bootstrap.min.js
[GIN] 2019/08/15 - 17:52:38 | 200 |   10.251283ms |       127.0.0.1 | GET      /static/fonts/Simple-Line-Icons.ttf?-i3a2kk
[GIN] 2019/08/15 - 17:52:38 | 200 |    9.712427ms |       127.0.0.1 | GET      /static/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0
[GIN] 2019/08/15 - 17:52:38 | 200 |    9.688997ms |       127.0.0.1 | GET      /static/fonts/fontawesome-webfont.woff2?v=4.6.2
[GIN] 2019/08/15 - 17:52:40 | 200 |    3.394123ms |       127.0.0.1 | GET      /task
[GIN] 2019/08/15 - 17:52:40 | 200 |    1.326626ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/08/15 - 17:52:42 | 200 |    3.981176ms |       127.0.0.1 | POST     /post/task/del
[GIN] 2019/08/15 - 17:52:42 | 200 |    2.962651ms |       127.0.0.1 | GET      /task
[GIN] 2019/08/15 - 17:52:42 | 200 |    1.039774ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/08/15 - 17:52:43 | 200 |    3.881693ms |       127.0.0.1 | POST     /post/task/del
[GIN] 2019/08/15 - 17:52:43 | 200 |    2.937365ms |       127.0.0.1 | GET      /task
[GIN] 2019/08/15 - 17:52:43 | 200 |     993.094µs |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/08/15 - 17:52:45 | 200 |     6.66103ms |       127.0.0.1 | GET      /report
[GIN] 2019/08/15 - 17:52:45 | 200 |    67.49217ms |       127.0.0.1 | GET      /static/libs/echarts/echarts.js
[GIN] 2019/08/15 - 17:52:45 | 200 |    6.467648ms |       127.0.0.1 | GET      /get/report/data
[GIN] 2019/08/15 - 17:52:47 | 200 |    1.211072ms |       127.0.0.1 | GET      /get/report/getNewLogs?id=5242
[GIN] 2019/08/15 - 17:52:47 | 200 |     3.32632ms |       127.0.0.1 | GET      /get/report/data
[GIN] 2019/08/15 - 17:52:48 | 200 |    4.081847ms |       127.0.0.1 | GET      /setting
[GIN] 2019/08/15 - 17:52:49 | 200 |    1.473541ms |       127.0.0.1 | GET      /get/setting/info?id=6
[GIN] 2019/08/15 - 17:52:49 | 200 |    2.744555ms |       127.0.0.1 | POST     /post/report/delete
[GIN] 2019/08/15 - 17:52:53 | 200 |     4.22025ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/08/15 - 17:52:54 | 200 |    4.864288ms |       127.0.0.1 | GET      /report
[GIN] 2019/08/15 - 17:52:54 | 200 |    1.325288ms |       127.0.0.1 | GET      /get/report/data
[GIN] 2019/08/15 - 17:52:55 | 200 |    2.357339ms |       127.0.0.1 | GET      /task
[GIN] 2019/08/15 - 17:52:55 | 200 |    1.396727ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/08/15 - 17:52:55 | 200 |    3.223946ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/08/15 - 17:52:56 | 200 |    3.620298ms |       127.0.0.1 | GET      /setting
[GIN] 2019/08/15 - 17:52:57 | 200 |    2.573639ms |       127.0.0.1 | GET      /plugs
